_id,Q,A,C,topic,file_path,level
6740a252e213d34a4d8df9a7,"Theo Luật viên chức số 58/2010/QH12, ai được coi là viên chức và làm việc như thế nào?","Theo Điều 2 của Luật số: 58/2010/QH12, viên chức là công dân Việt Nam được tuyển dụng vào vị trí việc làm tại đơn vị sự nghiệp công lập, làm việc theo hợp đồng và được hưởng lương từ quỹ lương của đơn vị đó.","Viên chức là công dân Việt Nam được tuyển dụng theo vị trí việc làm, làm việc tại đơn vị sự nghiệp công lập theo chế độ hợp đồng làm việc, hưởng lương từ quỹ lương của đơn vị sự nghiệp công lập theo quy định của pháp luật.",others,pdf_documents_new/THXhuq10IFZpw6puIGNo4bupYyAyMDEw.pdf,Remember
6740a252e213d34a4d8df9a8,"Luật viên chức số 58/2010/QH12 định nghĩa ""tuyển dụng"" là gì?","Điều 3, khoản 4 của Luật số: 58/2010/QH12 định nghĩa tuyển dụng viên chức là việc lựa chọn người có phẩm chất, trình độ và năng lực vào làm việc trong đơn vị sự nghiệp công lập","Tuyển dụng là việc lựa chọn người có phẩm chất, trình độ và năng lực vào làm viên chức trong đơn vị sự nghiệp công lập.",others,pdf_documents_new/THXhuq10IFZpw6puIGNo4bupYyAyMDEw.pdf,Remember
6740a268e213d34a4d8df9a9,Nghị định số 75/2023/NĐ-CP có mục đích sửa đổi nghị định nào?,"Nghị định số 75/2023/NĐ-CP sửa đổi, bổ sung một số điều của Nghị định số 146/2018/NĐ-CP.",Nghị định số: 75/2023/NĐ-CP,others,pdf_documents_new/Tmdo4buLIMSR4buLbmggNzUvMjAyMy9OxJAtQ1A=.pdf,Remember
6740a268e213d34a4d8df9aa,Nghị định số 07/2021/NĐ-CP được đề cập trong Nghị định 75/2023/NĐ-CP liên quan đến điều gì?,"Nghị định số 07/2021/NĐ-CP của Chính phủ quy định chuẩn nghèo đa chiều giai đoạn 2021-2025 được nhắc đến trong việc xác định đối tượng được hỗ trợ bảo hiểm y tế, cụ thể là người thuộc hộ gia đình nghèo theo chuẩn nghèo giai đoạn 2022-2025 và người thuộc hộ gia đình cận nghèo theo chuẩn hộ cận nghèo giai đoạn 2022-2025","b) Sửa đổi, bổ sung\n khoản 1\n như sau:\n“1. Người thuộc hộ gia đình cận nghèo theo chuẩn hộ cận nghèo giai đoạn 2022-2025 quy định tại Nghị định số \n07/2021/NĐ-CP\n và các\nvăn bản khác của cơ quan có thẩm quyền sửa đổi, bổ sung hoặc thay thế chuẩn hộ cận nghèo áp dụng cho từng giai đoạn.”;",others,pdf_documents_new/Tmdo4buLIMSR4buLbmggNzUvMjAyMy9OxJAtQ1A=.pdf,Remember
6740a272e213d34a4d8df9ab,Luật việc làm của Việt Nam được ban hành vào thời điểm nào và có những nội dung chính gì?,Luật việc làm số 38/2013/QH13 được Quốc hội Việt Nam ban hành ngày 16 tháng 11 năm 2013.,"Luật số: 38/2013/QH13\nHà Nội, ngày 16 tháng 11 năm 2013",others,pdf_documents_new/THXhuq10IFZp4buHYyBsw6BtIDIwMTM=.pdf,Remember
6740a272e213d34a4d8df9ac,"Theo Luật việc làm số 38/2013/QH13, phạm vi điều chỉnh của luật này bao gồm những nội dung nào?","Luật này quy định chính sách hỗ trợ tạo việc làm, thông tin thị trường lao động, đánh giá và cấp chứng chỉ kỹ năng nghề quốc gia, tổ chức và hoạt động dịch vụ việc làm, bảo hiểm thất nghiệp và quản lý nhà nước về việc làm","Điều 1. Phạm vi điều chỉnh\nLuật này quy định chính sách hỗ trợ tạo việc làm; thông tin thị trường lao động; đánh giá, cấp chứng chỉ kỹ năng nghề quốc gia; tổ chức, hoạt động dịch vụ việc làm; bảo hiểm thất nghiệp và quản lý nhà nước về việc làm.",others,pdf_documents_new/THXhuq10IFZp4buHYyBsw6BtIDIwMTM=.pdf,Remember
6740a27de213d34a4d8df9ad,"Năm 2019, Việt Nam ghi nhận được bao nhiêu loài thực vật bậc cao, bò sát, thú, chim và ếch nhái?","Theo báo cáo thống kê năm 2019, Việt Nam có khoảng 1.400 loài thực vật bậc cao, 296 loài bò sát, 322 loài thú, 887 loài chim, 176 loài ếch nhái và hàng vạn loài côn trùng, động vật không xương sống khác.","Theo báo cáo thống kê, tính đến hết năm 2019, Việt Nam có khoảng 1.400 loài thực vật bậc cao, bò sát có 296 loài, thú 322 loài, 887 loài chim, 176 loài ếch nhái, hàng vạn loài côn trùng và các loài động vật không xương sống khác, vi tảo ở vùng nước ngọt được xác định là 1.438 loài... chiếm 9,6% so với thế giới.",others,pdf_documents_new/UXV54bq_dCDEkeG7i25oIDE3MTkvUcSQLUJHRMSQVCBuxINtIDIwMjA=.pdf,Remember
6740a27de213d34a4d8df9ae,"Đến năm 2019, Việt Nam đã bảo tồn được bao nhiêu chủng vi sinh vật, nguồn gen cây nông nghiệp, cây lâm nghiệp và cây dược liệu?  Bao nhiêu giống vật nuôi đã được bảo tồn?","Tính đến năm 2019, Việt Nam đã bảo tồn được 21.393 chủng vi sinh vật; 45.975 nguồn gen cây nông nghiệp; 3.727 nguồn gen cây lâm nghiệp; và 6.784 nguồn gen cây dược liệu, cùng với 887 giống vật nuôi được bảo tồn ở các cấp khác nhau. ","Trong số các loài thực vật, động vật và vi sinh vật, hiện có 21.393 các chủng vi sinh vật đã được bảo tồn; 45.975 nguồn gen cây nông nghiệp; 3.727 nguồn gen cây lâm nghiệp, 6.784 nguồn gen cây dược liệu... đã được bảo tồn.\nBên cạnh đó, phát hiện thêm 55 giống vật nuôi đưa số lượng vật nuôi được bảo tồn ở các cấp lên 887 giống trong đó nhiều giống được bảo tồn, khai thác và phát triển thành hàng hóa có thương hiệu trong và ngoài nước.  ",others,pdf_documents_new/UXV54bq_dCDEkeG7i25oIDE3MTkvUcSQLUJHRMSQVCBuxINtIDIwMjA=.pdf,Remember
6740a286e213d34a4d8df9af,Nghị định nào quy định về quản lý cây xanh đô thị trên toàn quốc?,Nghị định số 64/2010/NĐ-CP ngày 11 tháng 06 năm 2010 là nghị định về quản lý cây xanh đô thị trên phạm vi toàn quốc.,Nghị định này quy định về quản lý cây xanh tại các đô thị trên phạm vi toàn quốc.,others,pdf_documents_new/Tmdo4buLIMSR4buLbmggNjQvMjAxMC9OxJAtQ1A=.pdf,Remember
6740a286e213d34a4d8df9b0,"Theo Nghị định số 64/2010/NĐ-CP, cây cổ thụ được định nghĩa như thế nào?","Theo Nghị định 64/2010/NĐ-CP, cây cổ thụ được định nghĩa là cây thân gỗ lâu năm, có độ tuổi tối thiểu 50 năm hoặc đường kính từ 50cm trở lên (ở chiều cao 1,3m).","là cây thân gỗ lâu năm được trồng hoặc mọc tự nhiên, có độ tuổi tối thiểu 50 năm hoặc cây có đường kính từ 50 cm trở lên tại chiều cao 1,3 m của cây.",others,pdf_documents_new/Tmdo4buLIMSR4buLbmggNjQvMjAxMC9OxJAtQ1A=.pdf,Remember
